Marker;MedianMs;MeanMs;LowerQuartileMs;UpperQuartileMs;MaxMs;Count;CountPerFrame;PresentFrames;SelectedFrames
"mscorlib.dll!System.Collections.Generic::ArraySortHelper`1.Sort()";28.2028;27.4619;27.2231;28.5292;32.6814;2193;137.0625;15;16
"mscorlib.dll!System.Collections.Generic::ArraySortHelper`1.IntrospectiveSort()";27.9423;27.16088;26.953;28.2573;32.3175;2193;137.0625;15;16
"Game.Feature.Gameplay.Host.dll!Game.Feature.Gameplay.Host.UIAccess::GameplayHostPresentationFeed.HandleTickCompleted()";27.7799;27.905067;27.061;30.297299;33.0997;113;7.0625;15;16
"Game.Feature.UI.Application.dll!Game.Feature.UI.Application::GameplayUiPresentationSource.HandleFramePublished()";27.5139;27.46808;26.7986;29.9978;32.7975;113;7.0625;15;16
"Game.Feature.Gameplay.dll!Game.Feature.Gameplay.Loop::TickPresentationDataBuilder.Build()";27.257999;28.13126;26.0135;29.5136;35.1548;113;7.0625;15;16
"Game.Feature.Gameplay.dll!Game.Feature.Gameplay.BoardState::WorldSnapshot.CopyDictionaryTo()";25.6863;26.628813;24.5696;26.313;50.4221;7502;468.875;15;16
"System.dll!System.Collections.Generic::SortedSet`1.GetEnumerator()";22.1959;21.691053;21.0514;23.2099;27.842;48924;3057.75;15;16
"mscorlib.dll!System.Collections.Generic::Dictionary`2.TryInsert()";21.6383;21.601112;20.4714;22.9518;45.7698;666684;41667.75;16;16
"mscorlib.dll!System.Collections.Generic::Dictionary`2.Add()";20.3748;21.540953;19.3471;21.3848;44.524999;480165;30010.3125;15;16
"mscorlib.dll!System.Collections.Generic::Dictionary`2.TryGetValue()";20.0743;18.857625;19.4891;20.5836;23.291;562507;35156.6875;16;16
"Game.Feature.Gameplay.Host.dll!Game.Feature.Gameplay.Host::GameplayTickPresentationCoordinator.RefreshPresentationMotionVfx()";18.5369;18.044467;17.8312;18.7677;21.9642;369;23.0625;15;16
"Game.Feature.Gameplay.Vfx.ProductionRuntime.dll!Game.Feature.Gameplay.Vfx.Host::GameplayVfxProductionRuntime.Game.Feature.Gameplay.Host.IGameplayPresentationMotionVfxExtension.RefreshPresentationMotionVfx()";18.4857;17.996567;17.7847;18.7167;21.9029;369;23.0625;15;16
"Game.Feature.Gameplay.Vfx.ProductionRuntime.dll!Game.Feature.Gameplay.Vfx.Host::GameplayVfxProductionRuntime.RefreshPresentationMotionVfx()";18.4789;17.989487;17.7785;18.7095;21.8944;369;23.0625;15;16
"UnityEngine.CoreModule.dll!UnityEngine::Component.get_gameObject()";17.9362;16.518356;17.3004;18.5749;21.1882;144363;9022.6875;16;16
"Game.Feature.Gameplay.Host.dll!Game.Feature.Gameplay.Host::GameplayTickPresentationCoordinator.PresentExtensions()";17.6318;30.25434;16.8024;19.0349;199.723801;113;7.0625;15;16
"Game.Feature.Gameplay.Vfx.ProductionRuntime.dll!Game.Feature.Gameplay.Vfx.Host::GameplayVfxProductionRuntime.Game.Feature.Gameplay.Host.IGameplayTickPresentationExtension.Present()";17.6027;30.208966;16.7779;19.0078;199.446396;113;7.0625;15;16
"Game.Feature.Gameplay.Vfx.ProductionRuntime.dll!Game.Feature.Gameplay.Vfx.Host::GameplayVfxProductionRuntime.Present()";17.597;30.112013;16.7731;19.0025;198.068192;113;7.0625;15;16
"System.dll!System.Collections.Generic::SortedSet`1..ctor()";16.5666;16.201327;15.5576;17.4755;22.1268;55281;3455.0625;15;16
"Game.Feature.Gameplay.Vfx.ProductionRuntime.dll!Game.Feature.Gameplay.Vfx.Host::GameplayVfxProductionRuntime.BuildVisibilityContext()";16.5385;15.970153;15.8195;16.7664;19.3961;482;30.125;15;16
"UnityEngine.CoreModule.dll!UnityEngine::Component.TryGetComponent()";16.3457;14.953725;15.4924;16.8122;19.1739;82687;5167.9375;16;16
"mscorlib.dll!System.Collections.Generic::ArraySortHelper`1.PickPivotAndPartition()";16.0521;15.60996;15.5282;16.3704;18.6932;8939;558.6875;15;16
"UnityEngine.CoreModule.dll!UnityEngine.Bindings::Unmarshal.UnmarshalUnityObject()";15.778;15.357281;15.0875;16.5497;19.8012;185168;11573;16;16
"Game.Feature.UI.Application.dll!Game.Feature.UI.Application::GameplayUiPresentationSource.CreateRefreshInput()";15.4286;15.217953;14.9076;16.7094;18.3823;113;7.0625;15;16
"mscorlib.dll!::Enumerator.MoveNext()";15.3243;14.004262;14.5521;15.8061;18.0381;450932;28183.25;16;16
"mscorlib.dll!System::Buffer.InternalMemcpy()";15.2214;14.194462;14.8802;16.0389;18.6138;4497694;281105.875;16;16
"Game.Feature.Gameplay.dll!Game.Feature.Gameplay.BoardState::WorldSnapshot.CopyCellCollectionTo()";14.6738;14.40054;13.8466;15.4459;20.073;682;42.625;15;16
"Game.Feature.Gameplay.dll!Game.Feature.Gameplay.BoardState::WorldSnapshot.AddRange()";13.5918;14.402767;13.0453;14.4599;31.0025;2034;127.125;15;16
"Game.Feature.Gameplay.dll!Game.Feature.Gameplay.Loop::TickPresentationData..cctor()";13.4465;13.4465;13.4465;13.4465;13.4465;1;0.0625;1;16
"Game.Feature.Gameplay.dll!Game.Feature.Gameplay.BoardState::WorldState.CreateSnapshotOwnedStackedUnitsByCell()";13.4418;13.318027;12.7021;13.9525;17.5429;906;56.625;15;16
"mscorlib.dll!System.Collections.Generic::Dictionary`2.FindEntry()";13.3747;12.273687;13.072;13.6446;15.4476;611840;38240;16;16
"Game.Feature.Gameplay.dll!Game.Feature.Gameplay.BoardState::WorldSnapshot.CopyEntitiesByIdTo()";12.833;12.6939;12.2941;13.2378;19.487;341;21.3125;15;16
"Game.Feature.Gameplay.Host.dll!Game.Feature.Gameplay.Host.UIAccess::GameplayHostCommandAdmissionPolicy.HandleTickCompleted()";12.1831;11.995173;11.7621;12.6234;14.8431;113;7.0625;15;16
"mscorlib.dll!System.Collections.Generic::List`1.Add()";11.8679;12.414906;11.6323;13.176;29.3324;379715;23732.1875;16;16
"Game.Feature.Gameplay.Host.dll!Game.Feature.Gameplay.Host.UIAccess::GameplayHostCommandAdmissionPolicy.RefreshCachedPresentationSnapshot()";11.6603;11.52048;11.3089;12.1541;14.2826;113;7.0625;15;16
"Game.Feature.Gameplay.dll!Game.Feature.Gameplay.Loop::TickPipeline.RunCleanupPhase()";11.6398;11.564353;11.1601;12.1507;15.3895;113;7.0625;15;16
"Game.Feature.Gameplay.Host.dll!Game.Feature.Gameplay.Host::GameplayEntityPresentationApplier.UpdateEnemyVisualPresentationState()";11.5521;11.239513;11.1581;11.7486;13.6918;9600;600;15;16
"mscorlib.dll!System.Collections.Generic::ArraySortHelper`1.InsertionSort()";11.4987;11.175027;10.9825;11.6249;13.248;11019;688.6875;15;16
"Game.Feature.Gameplay.dll!Game.Feature.Gameplay.Cleanup::CleanupProcessor.Process()";11.416;11.23024;10.9315;11.9047;15.0808;113;7.0625;15;16
"Game.Feature.Gameplay.dll!Game.Feature.Gameplay.Loop::GameplayCompositionRoot.CreateSnapshot()";11.2845;11.14222;10.9349;11.7669;13.7907;113;7.0625;15;16
"Game.Feature.Gameplay.dll!Game.Feature.Gameplay.BoardState::WorldSnapshot.CopyTileFeatureIdsByCellTo()";11.1703;10.904427;10.5149;11.6773;15.4184;341;21.3125;15;16
"mscorlib.dll!System::Object.wbarrier_conc()";10.7382;10.133606;10.4425;11.4265;12.7695;2843740;177733.75;16;16
"mscorlib.dll!System.Collections.ObjectModel::ReadOnlyCollection`1.get_Item()";10.6377;10.266566;10.1116;11.12;12.3698;484678;30292.375;15;16
"Game.Feature.Gameplay.dll!Game.Feature.Gameplay.Loop::TickPipeline.BuildEnemySameFaceKinematicLocomotionPlans()";10.5789;10.99586;10.2916;10.6868;13.74;113;7.0625;15;16
"Game.Feature.Gameplay.Host.dll!Game.Feature.Gameplay.Host::GameplayAnimationSyncCoordinator.ApplyTickPresentation()";10.5424;10.827767;10.0642;11.0548;12.6616;113;7.0625;15;16
